top - 07:54:54 up  2:07,  0 user,  load average: 0.02, 0.08, 0.08
top - 07:54:58 up  2:07,  0 user,  load average: 0.01, 0.08, 0.08
top - 07:55:02 up  2:07,  0 user,  load average: 0.01, 0.08, 0.08
top - 07:55:06 up  2:07,  0 user,  load average: 0.01, 0.07, 0.08
top - 07:55:10 up  2:07,  0 user,  load average: 0.01, 0.07, 0.08
top - 07:55:15 up  2:07,  0 user,  load average: 0.01, 0.07, 0.08
top - 07:55:19 up  2:07,  0 user,  load average: 0.01, 0.07, 0.08
top - 07:55:23 up  2:07,  0 user,  load average: 0.01, 0.07, 0.08
top - 07:55:27 up  2:07,  0 user,  load average: 0.01, 0.07, 0.08
top - 07:55:31 up  2:07,  0 user,  load average: 0.01, 0.07, 0.08
